,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,24,0,0,0,80,0,0,0
0,"(43, 0, 0.89926883)","(126, 0, 0.85357722)","(21, 0, 0.85556488)","(22, 0, 0.84770188)","(40, 0, 0.77685964)","(174, 0, 0.83462257)","(210, 0, 0.86082565)","(166, 0, 0.87159926)","(173, 0, 0.68020339)","(247, 0, 0.89415832)","(21, 0, 0.94267359)","(136, 0, 0.87858488)","(8, 0, 0.77991859)","(207, 0, 0.85425543)","(79, 0, 0.83509558)","(60, 0, 0.85222107)"
1,"(251, 0, 0.65723234)","(65, 0, 0.67158491)","(20, 0, 0.72776043)","(23, 0, 0.79897311)","(102, 0, 0.73959142)","(16, 0, 0.70226676)","(108, 0, 0.68706467)","(254, 0, 0.69487696)","(193, 0, 0.66651089)","(238, 0, 0.68572077)","(20, 0, 0.76525309)","(84, 0, 0.68647877)","(12, 0, 0.69553805)","(12, 0, 0.6713863)","(78, 0, 0.72400299)","(79, 0, 0.65197361)"
2,"(4, 0, 0.65446394)","(0, 0, 0.66148822)","(160, 0, 0.68248687)","(35, 0, 0.67718053)","(171, 0, 0.69873357)","(242, 0, 0.65864224)","(211, 0, 0.67852506)","(54, 0, 0.64677743)","(186, 0, 0.65617839)","(181, 0, 0.68461698)","(99, 0, 0.66832595)","(35, 0, 0.68124921)","(217, 0, 0.63774401)","(176, 0, 0.66899669)","(219, 0, 0.69305991)","(77, 0, 0.64387012)"
3,"(162, 0, 0.64587702)","(211, 0, 0.66106216)","(229, 0, 0.66864925)","(241, 0, 0.65969406)","(41, 0, 0.68871991)","(165, 0, 0.65515241)","(17, 0, 0.66714247)","(188, 0, 0.64459455)","(94, 0, 0.63577087)","(85, 0, 0.65671079)","(4, 0, 0.65482026)","(159, 0, 0.67017517)","(171, 0, 0.63416428)","(164, 0, 0.65833449)","(71, 0, 0.67994936)","(174, 0, 0.63309093)"
4,"(165, 0, 0.63863498)","(210, 0, 0.66021056)","(60, 0, 0.66638195)","(6, 0, 0.653445)","(242, 0, 0.64310648)","(175, 0, 0.6518557)","(155, 0, 0.66655897)","(240, 0, 0.64084998)","(231, 0, 0.63390019)","(89, 0, 0.64065176)","(100, 0, 0.6511029)","(235, 0, 0.6699678)","(253, 0, 0.63049764)","(210, 0, 0.64718392)","(105, 0, 0.67084741)","(153, 0, 0.62911491)"
5,"(126, 0, 0.63438556)","(127, 0, 0.65940924)","(5, 0, 0.62752186)","(196, 0, 0.64818501)","(158, 0, 0.64005061)","(91, 0, 0.64897046)","(98, 0, 0.66348187)","(6, 0, 0.63984024)","(241, 0, 0.63176829)","(253, 0, 0.63459811)","(209, 0, 0.63185199)","(183, 0, 0.64824804)","(143, 0, 0.62845146)","(80, 0, 0.6378455)","(228, 0, 0.66971329)","(215, 0, 0.62573089)"
6,"(181, 0, 0.63246697)","(215, 0, 0.64416436)","(40, 0, 0.62649598)","(136, 0, 0.63793566)","(45, 0, 0.635417)","(172, 0, 0.64385307)","(246, 0, 0.6301338)","(151, 0, 0.63326445)","(163, 0, 0.62892864)","(205, 0, 0.62588186)","(206, 0, 0.63062738)","(129, 0, 0.64819539)","(181, 0, 0.62679789)","(242, 0, 0.63653519)","(249, 0, 0.66116969)","(238, 0, 0.62161216)"
7,"(199, 0, 0.62644293)","(81, 0, 0.63818835)","(204, 0, 0.62556405)","(144, 0, 0.63575981)","(182, 0, 0.63041069)","(101, 0, 0.63329157)","(162, 0, 0.62694523)","(74, 0, 0.61889432)","(66, 0, 0.62181527)","(194, 0, 0.62380413)","(11, 0, 0.63018941)","(167, 0, 0.64765557)","(193, 0, 0.61972872)","(213, 0, 0.63565112)","(129, 0, 0.63505012)","(5, 0, 0.62134992)"
8,"(23, 0, 0.62549334)","(95, 0, 0.63704423)","(30, 0, 0.6207547)","(240, 0, 0.62134751)","(76, 0, 0.62657064)","(150, 0, 0.63283648)","(169, 0, 0.62638348)","(5, 0, 0.6165399)","(86, 0, 0.6205192)","(69, 0, 0.6193907)","(9, 0, 0.6301826)","(127, 0, 0.64685232)","(39, 0, 0.61640911)","(166, 0, 0.62557382)","(98, 0, 0.63428403)","(129, 0, 0.61757755)"
