,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.85404707)","(126, 0, 0.81730593)","(21, 0, 0.83667744)","(22, 0, 0.75223881)","(40, 0, 0.86474236)","(174, 0, 0.86428101)","(210, 0, 0.74140463)","(166, 0, 0.82836472)","(171, 0, 0.65138382)","(247, 0, 0.8665318)","(21, 0, 0.93020377)","(136, 0, 0.83820824)","(9, 0, 0.62497019)","(207, 0, 0.78387584)","(79, 0, 0.76880125)","(60, 0, 0.81692944)"
1,"(42, 0, 0.62731365)","(127, 0, 0.61131975)","(20, 0, 0.6131586)","(23, 0, 0.61930021)","(41, 0, 0.63172607)","(175, 0, 0.60420166)","(211, 0, 0.64219099)","(167, 0, 0.62193608)","(170, 0, 0.59606303)","(246, 0, 0.66443257)","(20, 0, 0.63554777)","(137, 0, 0.65428048)","(8, 0, 0.60469024)","(206, 0, 0.6262895)","(78, 0, 0.61374837)","(61, 0, 0.64823444)"
2,"(11, 0, 0.26090722)","(52, 0, 0.25763107)","(224, 0, 0.2400718)","(171, 0, 0.24673532)","(221, 0, 0.25407496)","(45, 0, 0.27845142)","(80, 0, 0.27630503)","(36, 0, 0.26487026)","(41, 0, 0.27086637)","(3, 0, 0.27949745)","(224, 0, 0.27852581)","(125, 0, 0.2773073)","(138, 0, 0.23385247)","(77, 0, 0.23428454)","(205, 0, 0.25558472)","(191, 0, 0.29088965)"
3,"(30, 0, 0.24072088)","(139, 0, 0.24879793)","(43, 0, 0.22973699)","(40, 0, 0.24221337)","(5, 0, 0.22803999)","(155, 0, 0.23436558)","(217, 0, 0.233595)","(187, 0, 0.22788805)","(40, 0, 0.22625202)","(116, 0, 0.27916858)","(173, 0, 0.22439754)","(46, 0, 0.23024927)","(76, 0, 0.22457511)","(76, 0, 0.23321826)","(204, 0, 0.24907436)","(15, 0, 0.24638359)"
4,"(196, 0, 0.23211692)","(10, 0, 0.23762028)","(42, 0, 0.22159876)","(189, 0, 0.23408785)","(170, 0, 0.21420477)","(44, 0, 0.22394009)","(233, 0, 0.2270737)","(149, 0, 0.22307814)","(132, 0, 0.1897842)","(2, 0, 0.24787171)","(209, 0, 0.21081725)","(66, 0, 0.22311554)","(31, 0, 0.21877104)","(244, 0, 0.22703483)","(186, 0, 0.22125981)","(3, 0, 0.24052559)"
5,"(61, 0, 0.2261208)","(252, 0, 0.23479798)","(225, 0, 0.21857851)","(31, 0, 0.23359953)","(143, 0, 0.20919976)","(179, 0, 0.2190569)","(106, 0, 0.22383994)","(152, 0, 0.21702735)","(173, 0, 0.18690728)","(39, 0, 0.2357032)","(151, 0, 0.20989946)","(20, 0, 0.22221732)","(171, 0, 0.20840158)","(58, 0, 0.22159751)","(125, 0, 0.21460318)","(190, 0, 0.2325081)"
6,"(54, 0, 0.21500908)","(65, 0, 0.23464139)","(168, 0, 0.20797328)","(227, 0, 0.22670169)","(183, 0, 0.20825746)","(8, 0, 0.21807333)","(159, 0, 0.22243239)","(118, 0, 0.21611058)","(38, 0, 0.18609558)","(204, 0, 0.23561794)","(200, 0, 0.20767515)","(122, 0, 0.21612616)","(4, 0, 0.20815868)","(250, 0, 0.22115534)","(110, 0, 0.20682316)","(103, 0, 0.22585945)"
7,"(47, 0, 0.21490894)","(51, 0, 0.22802736)","(124, 0, 0.20672896)","(25, 0, 0.22545903)","(3, 0, 0.20252667)","(22, 0, 0.21635969)","(39, 0, 0.22242804)","(153, 0, 0.20991581)","(153, 0, 0.18561537)","(74, 0, 0.23476096)","(223, 0, 0.20287528)","(135, 0, 0.21441357)","(229, 0, 0.2021047)","(114, 0, 0.21455464)","(64, 0, 0.20572422)","(204, 0, 0.22049917)"
8,"(246, 0, 0.21176349)","(195, 0, 0.2214336)","(32, 0, 0.20457106)","(162, 0, 0.22031217)","(184, 0, 0.20241162)","(85, 0, 0.21347239)","(81, 0, 0.21584606)","(130, 0, 0.20892471)","(76, 0, 0.18320572)","(51, 0, 0.23233401)","(150, 0, 0.20186118)","(48, 0, 0.21440361)","(60, 0, 0.19309543)","(132, 0, 0.21112673)","(108, 0, 0.20222868)","(73, 0, 0.21922255)"
