,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,1,2,0,0,0,0,0,0,22,0,0,0,32,0,1,0
0,"(67, 0, 0.83304738)","(39, 0, 0.90401604)","(21, 0, 0.87041874)","(22, 0, 0.89638627)","(40, 0, 0.9542257)","(174, 0, 0.86668324)","(210, 0, 0.82735941)","(166, 0, 0.85459617)","(77, 0, 0.81177029)","(247, 0, 0.91313018)","(21, 0, 0.95576572)","(136, 0, 0.87065108)","(8, 0, 0.86697525)","(207, 0, 0.87167057)","(78, 0, 0.91542461)","(60, 0, 0.87282501)"
1,"(43, 0, 0.82652072)","(127, 0, 0.89285295)","(20, 0, 0.83942308)","(144, 0, 0.85239479)","(41, 0, 0.85484991)","(61, 0, 0.8158441)","(33, 0, 0.82222634)","(62, 0, 0.84008376)","(170, 0, 0.79409692)","(128, 0, 0.83430802)","(98, 0, 0.81039833)","(137, 0, 0.8615689)","(183, 0, 0.83090672)","(108, 0, 0.79822122)","(79, 0, 0.83056828)","(61, 0, 0.86101986)"
2,"(136, 0, 0.82651189)","(126, 0, 0.85882457)","(99, 0, 0.77839189)","(251, 0, 0.85016585)","(203, 0, 0.80634986)","(40, 0, 0.79140513)","(222, 0, 0.80787232)","(122, 0, 0.82027613)","(0, 0, 0.76897008)","(159, 0, 0.83092963)","(63, 0, 0.80159218)","(252, 0, 0.83555396)","(56, 0, 0.82910204)","(123, 0, 0.79710237)","(99, 0, 0.82663826)","(184, 0, 0.81034004)"
3,"(201, 0, 0.79940256)","(170, 0, 0.83020282)","(45, 0, 0.77275754)","(181, 0, 0.83506685)","(145, 0, 0.80284487)","(204, 0, 0.77587532)","(7, 0, 0.80706072)","(146, 0, 0.81185915)","(155, 0, 0.76173434)","(17, 0, 0.81191469)","(88, 0, 0.79335092)","(204, 0, 0.82348885)","(143, 0, 0.82440236)","(218, 0, 0.78083699)","(116, 0, 0.80537886)","(101, 0, 0.79879199)"
4,"(148, 0, 0.78281581)","(3, 0, 0.82997588)","(193, 0, 0.76955149)","(168, 0, 0.82849945)","(30, 0, 0.77744004)","(66, 0, 0.76114839)","(211, 0, 0.79595807)","(167, 0, 0.81157925)","(102, 0, 0.76016797)","(186, 0, 0.80953638)","(214, 0, 0.79202325)","(18, 0, 0.81659419)","(109, 0, 0.80354841)","(241, 0, 0.77992461)","(239, 0, 0.79312231)","(72, 0, 0.79758265)"
5,"(87, 0, 0.78276428)","(193, 0, 0.80266508)","(97, 0, 0.76353893)","(195, 0, 0.81926474)","(217, 0, 0.77592155)","(215, 0, 0.75859732)","(197, 0, 0.79387986)","(81, 0, 0.77358336)","(109, 0, 0.75216727)","(94, 0, 0.79742879)","(152, 0, 0.78530902)","(175, 0, 0.81174565)","(132, 0, 0.79553283)","(237, 0, 0.77948676)","(88, 0, 0.78728908)","(150, 0, 0.7964485)"
6,"(73, 0, 0.77795885)","(21, 0, 0.80063587)","(143, 0, 0.75218895)","(99, 0, 0.80337478)","(83, 0, 0.76939003)","(74, 0, 0.75780843)","(35, 0, 0.79280736)","(155, 0, 0.76759203)","(187, 0, 0.74946569)","(156, 0, 0.79548457)","(20, 0, 0.78052609)","(126, 0, 0.80352489)","(38, 0, 0.78118602)","(162, 0, 0.77712425)","(164, 0, 0.78270267)","(205, 0, 0.79356086)"
7,"(253, 0, 0.76777446)","(195, 0, 0.79969181)","(181, 0, 0.75110876)","(230, 0, 0.79228718)","(206, 0, 0.76864916)","(219, 0, 0.75060011)","(168, 0, 0.78964778)","(209, 0, 0.76698856)","(58, 0, 0.74921748)","(209, 0, 0.79048108)","(60, 0, 0.77978391)","(226, 0, 0.80329913)","(81, 0, 0.77307163)","(150, 0, 0.76414179)","(214, 0, 0.77837481)","(95, 0, 0.7915586)"
8,"(216, 0, 0.76654607)","(100, 0, 0.79659274)","(176, 0, 0.75098487)","(180, 0, 0.79201398)","(15, 0, 0.76522469)","(120, 0, 0.74747607)","(63, 0, 0.78664679)","(132, 0, 0.76580343)","(21, 0, 0.74612414)","(2, 0, 0.78910371)","(228, 0, 0.77289804)","(62, 0, 0.7962856)","(34, 0, 0.76619876)","(152, 0, 0.75359669)","(170, 0, 0.77515785)","(232, 0, 0.7839615)"
