,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"(43, 0, 0.86294692)","(126, 0, 0.81246526)","(21, 0, 0.8234774)","(22, 0, 0.76594845)","(40, 0, 0.86930595)","(174, 0, 0.85200311)","(210, 0, 0.75075391)","(166, 0, 0.81483691)","(171, 0, 0.61054369)","(247, 0, 0.87685479)","(21, 0, 0.93091958)","(136, 0, 0.82924454)","(8, 0, 0.62522325)","(207, 0, 0.81512742)","(79, 0, 0.7762978)","(60, 0, 0.80868484)"
1,"(42, 0, 0.60680144)","(127, 0, 0.60091757)","(20, 0, 0.61465161)","(23, 0, 0.61635155)","(41, 0, 0.59244078)","(175, 0, 0.60671476)","(211, 0, 0.6269823)","(167, 0, 0.61834995)","(170, 0, 0.61053654)","(246, 0, 0.61517806)","(20, 0, 0.6095205)","(137, 0, 0.60930663)","(9, 0, 0.61055694)","(206, 0, 0.59654621)","(78, 0, 0.62774227)","(61, 0, 0.60558726)"
2,"(117, 0, 0.22304198)","(33, 0, 0.21121763)","(75, 0, 0.19700146)","(73, 0, 0.25529382)","(119, 0, 0.20223781)","(241, 0, 0.2462911)","(141, 0, 0.20972257)","(249, 0, 0.21237249)","(244, 0, 0.21137462)","(131, 0, 0.23386451)","(74, 0, 0.24180405)","(219, 0, 0.21552156)","(86, 0, 0.22804809)","(144, 0, 0.21773436)","(16, 0, 0.21639033)","(99, 0, 0.21599575)"
3,"(116, 0, 0.21221533)","(32, 0, 0.20777314)","(164, 0, 0.18656264)","(72, 0, 0.19391605)","(118, 0, 0.19801243)","(240, 0, 0.22673017)","(99, 0, 0.20257215)","(198, 0, 0.20498018)","(245, 0, 0.19578393)","(168, 0, 0.21422366)","(75, 0, 0.21862307)","(214, 0, 0.21328288)","(124, 0, 0.1788703)","(145, 0, 0.20394274)","(17, 0, 0.20500147)","(98, 0, 0.21505931)"
4,"(178, 0, 0.20848672)","(141, 0, 0.20756798)","(246, 0, 0.18632942)","(229, 0, 0.19378078)","(73, 0, 0.1969848)","(31, 0, 0.19519263)","(140, 0, 0.2024273)","(98, 0, 0.19148126)","(27, 0, 0.19365349)","(4, 0, 0.21386246)","(230, 0, 0.21301353)","(233, 0, 0.20037261)","(105, 0, 0.17871141)","(30, 0, 0.19937774)","(96, 0, 0.19859212)","(93, 0, 0.19269208)"
5,"(126, 0, 0.19244499)","(48, 0, 0.20576413)","(229, 0, 0.18574256)","(233, 0, 0.19362902)","(249, 0, 0.19655696)","(141, 0, 0.18944936)","(133, 0, 0.19797935)","(132, 0, 0.18742957)","(196, 0, 0.18794093)","(169, 0, 0.20560613)","(185, 0, 0.20328307)","(198, 0, 0.19834555)","(45, 0, 0.17742267)","(98, 0, 0.19209452)","(6, 0, 0.19238574)","(147, 0, 0.19162371)"
6,"(208, 0, 0.18664469)","(175, 0, 0.20497123)","(74, 0, 0.1835103)","(59, 0, 0.19227209)","(0, 0, 0.1874865)","(188, 0, 0.18541264)","(218, 0, 0.1948608)","(119, 0, 0.18487811)","(202, 0, 0.1820727)","(181, 0, 0.20378547)","(29, 0, 0.19614975)","(25, 0, 0.19666708)","(87, 0, 0.17741318)","(156, 0, 0.19158353)","(254, 0, 0.18938068)","(140, 0, 0.19092005)"
7,"(95, 0, 0.18619164)","(111, 0, 0.19860477)","(206, 0, 0.17806438)","(89, 0, 0.191692)","(92, 0, 0.1874562)","(219, 0, 0.18245815)","(166, 0, 0.18935279)","(211, 0, 0.18425225)","(10, 0, 0.18118718)","(254, 0, 0.19017646)","(186, 0, 0.1944231)","(41, 0, 0.19464288)","(6, 0, 0.17639182)","(70, 0, 0.18086589)","(46, 0, 0.18814762)","(165, 0, 0.19058115)"
8,"(58, 0, 0.18460183)","(165, 0, 0.19642319)","(97, 0, 0.17703046)","(69, 0, 0.19102949)","(103, 0, 0.18511415)","(197, 0, 0.17950494)","(124, 0, 0.18927915)","(248, 0, 0.1804391)","(74, 0, 0.17638512)","(197, 0, 0.18914225)","(49, 0, 0.1862556)","(215, 0, 0.19138016)","(204, 0, 0.17242388)","(187, 0, 0.17911041)","(94, 0, 0.18673556)","(24, 0, 0.18871047)"
